Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dealer Kendaraan,Chrome 118.0.0.0,,,2023-10-25 12:22:49,2023-10-25 12:27:55,5m - 5.628s,PASSED
,,,,,,,
Test Cases/login_admin,Chrome 118.0.0.0,,,2023-10-25 12:22:51,2023-10-25 12:24:19,1m - 28.614s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-25 12:22:53,2023-10-25 12:23:11,17.617s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-25 12:23:11,2023-10-25 12:23:12,1.305s,PASSED
"navigateToUrl(""https://dms-dev.cloudias79.com/login"")",Chrome 118.0.0.0,,,2023-10-25 12:23:12,2023-10-25 12:23:43,31.387s,PASSED
"setText(findTestObject(""Object Repository/input_Silakan masuk untuk melanjutkan_r0""), ""akunadmin"")",Chrome 118.0.0.0,,,2023-10-25 12:23:43,2023-10-25 12:24:00,16.515s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input__r1""), ""fzqqY0qJjYTuJiVJRZh4ag=="")",Chrome 118.0.0.0,,,2023-10-25 12:24:00,2023-10-25 12:24:12,12.457s,PASSED
"click(findTestObject(""Object Repository/button_Login""))",Chrome 118.0.0.0,,,2023-10-25 12:24:12,2023-10-25 12:24:19,7.087s,PASSED
,,,,,,,
Test Cases/admin_lihat_daftar_dealer,Chrome 118.0.0.0,,,2023-10-25 12:24:19,2023-10-25 12:24:30,10.149s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Daftar Dealer Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:24:24,2023-10-25 12:24:30,6.032s,PASSED
,,,,,,,
Test Cases/admin_search_dealer,Chrome 118.0.0.0,,,2023-10-25 12:24:30,2023-10-25 12:24:53,23.036s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Daftar Dealer Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:24:34,2023-10-25 12:24:40,5.435s,PASSED
"click(findTestObject(""admin/kendaraan/daftar warna kendaraan/input_search Daftar Dealer Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:24:40,2023-10-25 12:24:47,7.245s,PASSED
"setText(findTestObject(""admin/kendaraan/daftar warna kendaraan/input_search Daftar Dealer Kendaraan""), ""h"")",Chrome 118.0.0.0,,,2023-10-25 12:24:47,2023-10-25 12:24:53,5.473s,PASSED
,,,,,,,
Test Cases/admin_tambah_dealer,Chrome 118.0.0.0,,,2023-10-25 12:24:53,2023-10-25 12:27:02,2m - 9.722s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Daftar Dealer Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:24:58,2023-10-25 12:25:01,2.976s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Tambah Dealer Penjualan Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:25:01,2023-10-25 12:25:11,9.831s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/input_Tambah Dealer Penjualan Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:25:11,2023-10-25 12:25:57,46.420s,PASSED
"setText(findTestObject(""admin/kendaraan/daftar dealer kendaraan/input_Tambah Dealer Penjualan Kendaraan""), ""Suzuki"")",Chrome 118.0.0.0,,,2023-10-25 12:25:57,2023-10-25 12:27:02,1m - 4.415s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Tambah Dealer Penjualan Kendaraan_Batal""))",Chrome 118.0.0.0,,,2023-10-25 12:27:02,2023-10-25 12:27:02,0.738s,PASSED
,,,,,,,
Test Cases/admin_edit_dealer,Chrome 118.0.0.0,,,2023-10-25 12:27:02,2023-10-25 12:27:39,36.553s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_Daftar Dealer Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:27:04,2023-10-25 12:27:04,0.634s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/button_edit dealer penjualan kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:27:04,2023-10-25 12:27:06,1.304s,PASSED
"click(findTestObject(""admin/kendaraan/daftar dealer kendaraan/input_Edit Dealer Penjualan Kendaraan""))",Chrome 118.0.0.0,,,2023-10-25 12:27:06,2023-10-25 12:27:38,32.678s,PASSED
