Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Mekanik,Chrome 118.0.0.0,,,2023-10-25 12:23:50,2023-10-25 12:27:10,3m - 20.280s,PASSED
,,,,,,,
Test Cases/login_mekanik,Chrome 118.0.0.0,,,2023-10-25 12:23:52,2023-10-25 12:25:47,1m - 55.526s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-25 12:23:55,2023-10-25 12:24:19,24.062s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-25 12:24:19,2023-10-25 12:24:20,0.804s,PASSED
"navigateToUrl(""https://dms-dev.cloudias79.com/login"")",Chrome 118.0.0.0,,,2023-10-25 12:24:20,2023-10-25 12:25:37,1m - 17.051s,PASSED
"setText(findTestObject(""Page_DMS_login/input_login_username""), ""akunmekanik"")",Chrome 118.0.0.0,,,2023-10-25 12:25:37,2023-10-25 12:25:44,7.242s,PASSED
"setEncryptedText(findTestObject(""Page_DMS_login/input_login_password""), ""fzqqY0qJjYTuJiVJRZh4ag=="")",Chrome 118.0.0.0,,,2023-10-25 12:25:44,2023-10-25 12:25:46,1.658s,PASSED
"click(findTestObject(""Page_DMS_login/button_Login""))",Chrome 118.0.0.0,,,2023-10-25 12:25:46,2023-10-25 12:25:47,1.494s,PASSED
,,,,,,,
Test Cases/logout_admin,Chrome 118.0.0.0,,,2023-10-25 12:25:47,2023-10-25 12:27:10,1m - 22.611s,PASSED
"click(findTestObject(""admin/button_icon profile""))",Chrome 118.0.0.0,,,2023-10-25 12:25:50,2023-10-25 12:26:03,12.730s,PASSED
delay(3),Chrome 118.0.0.0,,,2023-10-25 12:26:03,2023-10-25 12:26:06,3.370s,PASSED
"waitForElementPresent(findTestObject(""admin/button_Log Out""), 3)",Chrome 118.0.0.0,,,2023-10-25 12:26:07,2023-10-25 12:26:08,1.494s,PASSED
"waitForElementClickable(findTestObject(""admin/button_Log Out""), 3)",Chrome 118.0.0.0,,,2023-10-25 12:26:08,2023-10-25 12:26:10,2.072s,PASSED
"click(findTestObject(""admin/button_Log Out""))",Chrome 118.0.0.0,,,2023-10-25 12:26:10,2023-10-25 12:27:10,59.811s,PASSED
