Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pagination,Chrome 118.0.0.0,,,2023-10-26 10:40:27,2023-10-26 10:41:28,1m - 0.472s,PASSED
,,,,,,,
Test Cases/login_admin,Chrome 118.0.0.0,,,2023-10-26 10:40:29,2023-10-26 10:41:02,33.001s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-26 10:40:32,2023-10-26 10:40:46,14.061s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-26 10:40:46,2023-10-26 10:40:46,0.497s,PASSED
"navigateToUrl(""https://dms-dev.cloudias79.com/login"")",Chrome 118.0.0.0,,,2023-10-26 10:40:46,2023-10-26 10:40:52,5.964s,PASSED
"setText(findTestObject(""Object Repository/input_Silakan masuk untuk melanjutkan_r0""), ""akunadmin"")",Chrome 118.0.0.0,,,2023-10-26 10:40:52,2023-10-26 10:40:58,6.016s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input__r1""), ""fzqqY0qJjYTuJiVJRZh4ag=="")",Chrome 118.0.0.0,,,2023-10-26 10:40:58,2023-10-26 10:41:01,2.786s,PASSED
"click(findTestObject(""Object Repository/button_Login""))",Chrome 118.0.0.0,,,2023-10-26 10:41:01,2023-10-26 10:41:02,1.315s,PASSED
,,,,,,,
Test Cases/pagination,Chrome 118.0.0.0,,,2023-10-26 10:41:02,2023-10-26 10:41:28,25.471s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_151015All""), ""10"", true)",Chrome 118.0.0.0,,,2023-10-26 10:41:05,2023-10-26 10:41:15,9.537s,PASSED
"verifyElementText(findTestObject(""Object Repository/span_10 Entries""), ""10 Entries"")",Chrome 118.0.0.0,,,2023-10-26 10:41:15,2023-10-26 10:41:18,3.032s,PASSED
"verifyElementText(findTestObject(""Object Repository/td_10""), ""10"")",Chrome 118.0.0.0,,,2023-10-26 10:41:18,2023-10-26 10:41:28,9.856s,PASSED
